Kanji,Reading,Meaning,Japanese Example,English Example
来年,らいねん,next year,来年の計画を立てよう。,Let's make plans for next year.
ラジオ,ラジオ,radio,毎朝ラジオを聞きます。,I listen to the radio every morning.
ラジオカセ,ラジオカセ,radio cassette player,部屋にラジオカセットプレーヤーがあります。,There is a radio cassette player in the room.
りっぱ,りっぱ,"splendid, fine",彼女はりっぱな家庭を持っている。,She has a splendid family.
留学生,りゅうがくせい,international student,留学生として日本に来ました。,I came to Japan as an international student.
両親,りょうしん,"parents (lit., both parents)",両親に感謝します。,I am grateful to my parents.
料理,りょうり,cooking; cuisine,彼は料理が得意です。,He is good at cooking.
旅行,りょこう,"travel, trip",新しい国へ旅行するのが楽しみです。,I am looking forward to traveling to a new country.
零,れい,"zero, nought",その問題には零の人数が正解した。,Zero people answered that question correctly.
冷蔵庫,れいぞうこ,refrigerator,食材は冷蔵庫に入れてください。,Please put the ingredients in the refrigerator.
レコード,レコード,record,彼は古いレコードを集めるのが趣味です。,Collecting old records is his hobby.
レストラン,レストラン,restaurant,今夜はレストランで食事をしましょう。,Let's have dinner at a restaurant tonight.
練習,れんしゅう (する),(to) practice,毎日練習することは大切です。,Practicing every day is important.
廊下,ろうか,corridor,廊下をまっすぐ進んでください。,Please walk straight down the corridor.
六,ろく,six,私の家には六人家族が住んでいます。,I live with a family of six in my house.
ワイシャツ,ワイシャツ,"shirt (lit: white shirt), business shirt",ビジネスシーンでワイシャツを着る。,Wear a business shirt in a business scene.
若い,わかい,young,彼は若いが、とても頭がいい。,He is young but very smart.
分かる,わかる,to understand,その問題の答えが分かりますか？,Do you understand the answer to that question?
忘れる,わすれる,to forget,大切なことを忘れないでください。,Please do not forget important things.
私,わたし,"I, myself",私は日本語を勉強しています。,I am studying Japanese.
私,わたくし,"I (formal), myself, private affairs",私は日本語を勉強しています。,I am studying Japanese.
渡す,わたす,to hand (something) over (v.t.); to get across,彼に手紙を渡してください。,Please hand the letter to him.
渡る,わたる,"to cross over, to go across",橋を渡って向こう側に行きます。,Cross the bridge and go to the other side.
悪い,わるい,"bad, sinful; inferior",悪いことをすると後悔します。,You will regret doing bad things.
六日,むいか,"sixth day, six days",明日は六日です。,Tomorrow is the sixth day.
